"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"2059-10","1","2059-10","São Miguel - Cptm Guaianazes","3","",""
"2060-10","1","2060-10","Term. A. E. Carvalho - Metrô Artur Alvim","3","",""
"2076-10","1","2076-10","Jd. Das Oliveiras - Term. Penha","3","",""
"2079-10","1","2079-10","Jd. Nélia - Cptm Itaim Paulista","3","",""
"2080-10","1","2080-10","Cid. Kemel - Term. Aricanduva","3","",""
"2088-10","1","2088-10","Conj. Encosta Norte - Term. A. E. Carvalho","3","",""
"208M-10","1","208M-10","Metrô Santana - Term. Pinheiros","3","",""
"208V-10","1","208V-10","Term. A. E. Carvalho - Term. Pq. D. Pedro Ii","3","",""
"209P-1","1","209P-1","Cachoeirinha - Term. Pinheiros","3","",""
"209P-10","1","209P-10","Cachoeirinha - Term. Pinheiros","3","",""
"2100-10","1","2100-10","Term. Vl. Carrão - Pça. Da Sé","3","",""
"2101-10","1","2101-10","Pça. Silvio Romero - Pça. Da Sé","3","",""
"2101-41","1","2101-41","Pça. Silvio Romero - Vl. Prudente","3","",""
"2104-10","1","2104-10","Metrô Santana - Term. Pq. D. Pedro Ii","3","",""
"2105-10","1","2105-10","Jd. Filhos Da Terra - Lgo. Da Concórdia","3","",""
"211L-10","1","211L-10","Mandaqui - Lapa","3","",""
"211V-10","1","211V-10","Vl. Paranaguá - Penha","3","",""
"2123-10","1","2123-10","Vl. Medeiros - Liberdade","3","",""
"2127-10","1","2127-10","Jd. Brasil - Liberdade","3","",""
"213C-10","1","213C-10","Vl. Califórnia - Itaim Paulista","3","",""
"213C-31","1","213C-31","Vl. Califórnia - Itaim Paulista","3","",""
"213E-10","1","213E-10","Edú Chaves - Metrô Belém","3","",""
"2161-10","1","2161-10","Pq. Edú Chaves - Pça. Do Correio","3","",""
"2182-10","1","2182-10","Jd. Brasil - Pça. Do Correio","3","",""
"2201-10","1","2201-10","Div. De Ferraz - Cptm Guaianazes","3","",""
"2202-10","1","2202-10","Hosp. Itaim - Cptm Guaianazes","3","",""
"2203-10","1","2203-10","Burgo Paulista - Shop. Penha","3","",""
"2290-10","1","2290-10","Term. São Mateus - Term. Pq. D. Pedro Ii","3","",""
"2290-21","1","2290-21","São Mateus - Term. Pq. D. Pedro Ii","3","",""
"233A-10","1","233A-10","Jd. Helena - Ceret","3","",""
"233C-10","1","233C-10","Term. A. E. Carvalho - Ceret","3","",""
"2363-10","1","2363-10","Jd. Danfer - Term. Pq. D. Pedro Ii","3","",""
"2435-10","1","2435-10","Jd. Coimbra - Term. Aricanduva","3","",""
"2451-10","1","2451-10","Vl. São Francisco - Term. Aricanduva","3","",""
"2460-10","1","2460-10","Cem. Da Saudade - Term. A. E. Carvalho","3","",""
"2463-10","1","2463-10","Burgo Paulista - Term. Aricanduva","3","",""
"2501-10","1","2501-10","Ermelino Matarazzo - Metrô Carrão","3","",""
"2522-10","1","2522-10","Jd. Sto. Antônio - Metrô Itaquera","3","",""
"2523-10","1","2523-10","Vl. Progresso - Term. A. E. Carvalho","3","",""
"253F-10","1","253F-10","Term. A. E. Carvalho - Term. São Mateus","3","",""
"2551-10","1","2551-10","Term. A. E. Carvalho - Term. Pq. D. Pedro Ii","3","",""
"2552-10","1","2552-10","Vl. Mara - Term. Pq. D. Pedro Ii","3","",""
"2552-41","1","2552-41","Jd. São Martinho - Term. Pq. D. Pedro Ii","3","",""
"2582-10","1","2582-10","Vl. Nova Curuçá - Term. Pq. D. Pedro Ii","3","",""
